signal_time,coin,tier,regime,hold_h,outcome,pnl_pct,lev_pnl,leverage,is_new
2024-01-05 07:00:00,LINKUSDT,B,TRENDING,4,OPEN,-3.037,-12.147,4,True
2024-01-05 07:00:00,LINKUSDT,B,TRENDING,12,STOP,-5.929,-23.715,4,True
2024-01-05 07:00:00,LINKUSDT,B,TRENDING,24,STOP,-5.929,-23.715,4,True
2024-01-08 06:00:00,MATICUSDT,B,RANGING,4,OPEN,3.094,12.377,4,False
2024-01-08 06:00:00,MATICUSDT,B,RANGING,12,TARGET,7.819,31.275,4,False
2024-01-08 06:00:00,MATICUSDT,B,RANGING,24,TARGET,7.819,31.275,4,False
2024-01-08 06:00:00,DOTUSDT,B,RANGING,4,OPEN,3.686,11.059,3,True
2024-01-08 06:00:00,DOTUSDT,B,RANGING,12,OPEN,6.501,19.502,3,True
2024-01-08 06:00:00,DOTUSDT,B,RANGING,24,OPEN,6.602,19.806,3,True
2024-01-08 06:00:00,ATOMUSDT,B,RANGING,4,OPEN,2.674,10.695,4,True
2024-01-08 06:00:00,ATOMUSDT,B,RANGING,12,OPEN,5.663,22.651,4,True
2024-01-08 06:00:00,ATOMUSDT,B,RANGING,24,TARGET,7.265,29.059,4,True
2024-01-08 06:00:00,SOLUSDT,A,RANGING,4,OPEN,4.175,16.698,4,False
2024-01-08 06:00:00,SOLUSDT,A,RANGING,12,TARGET,8.678,34.712,4,False
2024-01-08 06:00:00,SOLUSDT,A,RANGING,24,TARGET,8.678,34.712,4,False
2024-01-08 06:00:00,LINKUSDT,A,RANGING,4,OPEN,2.002,6.006,3,True
2024-01-08 06:00:00,LINKUSDT,A,RANGING,12,OPEN,5.056,15.167,3,True
2024-01-08 06:00:00,LINKUSDT,A,RANGING,24,OPEN,3.335,10.005,3,True
2024-01-09 04:00:00,AVAXUSDT,B,TRENDING,4,OPEN,-1.609,-6.435,4,False
2024-01-09 04:00:00,AVAXUSDT,B,TRENDING,12,STOP,-5.683,-22.731,4,False
2024-01-09 04:00:00,AVAXUSDT,B,TRENDING,24,STOP,-5.683,-22.731,4,False
2024-01-10 20:00:00,DOTUSDT,B,TRENDING,4,OPEN,2.674,2.674,1,True
2024-01-10 20:00:00,DOTUSDT,B,TRENDING,12,OPEN,5.221,5.221,1,True
2024-01-10 20:00:00,DOTUSDT,B,TRENDING,24,OPEN,2.573,2.573,1,True
2024-01-12 00:00:00,ATOMUSDT,A,RANGING,4,OPEN,0.047,0.237,5,True
