signal_time,entry_time,coin,entry_price,stop_price,target_price,stop_dist_pct,beta_4h,vol_zscore,regime,confidence,tier,leverage,rr,is_new
2023-07-08 00:00:00,2023-07-08 02:00:00,AVAXUSDT,13.009,12.49521,13.779685,3.949,-3.891,4.273,RANGING,100.0,A,6,1.5,False
2023-07-08 00:00:00,2023-07-08 02:00:00,DOTUSDT,5.155,5.04067,5.326495,2.218,-0.915,1.383,RANGING,75.7,A,11,1.5,True
2023-07-08 00:00:00,2023-07-08 02:00:00,ARBUSDT,1.1378,1.101067,1.192899,3.228,-0.34,1.034,RANGING,70.5,B,7,1.5,False
2023-07-09 01:00:00,2023-07-09 03:00:00,APTUSDT,7.124,6.84958,7.53563,3.852,-5.247,2.464,RANGING,92.0,A,6,1.5,True
2023-07-10 12:00:00,2023-07-10 14:00:00,APTUSDT,7.078,6.76401,7.548985,4.436,-1.603,4.11,RANGING,100.0,A,5,1.5,True
2023-07-10 12:00:00,2023-07-10 14:00:00,MATICUSDT,0.7073,0.667148,0.767529,5.677,-2.637,4.752,RANGING,100.0,A,4,1.5,False
2023-07-11 16:00:00,2023-07-11 18:00:00,OPUSDT,1.218,1.191214,1.258179,2.199,-0.28,1.048,RANGING,70.7,B,11,1.5,True
2023-07-11 22:00:00,2023-07-12 00:00:00,LINKUSDT,6.222,6.108305,6.392542,1.827,-0.02,2.08,RANGING,86.2,A,13,1.5,True
2023-07-12 00:00:00,2023-07-12 02:00:00,SOLUSDT,21.968,21.60941,22.505885,1.632,-0.035,1.36,RANGING,75.4,A,15,1.5,False
2023-07-12 05:00:00,2023-07-12 07:00:00,INJUSDT,8.173,7.889355,8.598468,3.471,-3.159,3.851,RANGING,100.0,A,7,1.5,True
2023-07-12 06:00:00,2023-07-12 08:00:00,LTCUSDT,97.04,94.97275,100.140875,2.13,-0.178,1.03,RANGING,70.5,B,11,1.5,True
2023-07-16 09:00:00,2023-07-16 11:00:00,ARBUSDT,1.3008,1.22385,1.416225,5.916,-2.155,2.73,TRENDING,70.9,B,4,1.5,False
2023-07-17 05:00:00,2023-07-17 07:00:00,SOLUSDT,27.634,26.9247,28.69795,2.567,-2.675,1.633,RANGING,79.5,A,9,1.5,False
2023-07-20 06:00:00,2023-07-20 08:00:00,NEARUSDT,1.56,1.447725,1.728412,7.197,-1.225,1.559,RANGING,78.4,A,3,1.5,True
2023-07-21 16:00:00,2023-07-21 18:00:00,LTCUSDT,94.45,91.29125,99.188125,3.344,0.244,3.457,RANGING,75.6,A,7,1.5,True
2023-07-27 05:00:00,2023-07-27 07:00:00,BNBUSDT,242.31,237.3075,249.81375,2.065,-0.107,7.957,TRENDING,75.0,A,12,1.5,False
2023-07-29 00:00:00,2023-07-29 02:00:00,AVAXUSDT,13.253,13.035495,13.579257,1.641,0.067,1.126,RANGING,65.2,B,15,1.5,False
2023-08-01 00:00:00,2023-08-01 02:00:00,LINKUSDT,7.423,7.38688,7.488927,0.487,0.114,1.347,RANGING,63.8,B,51,1.83,True
2023-08-01 00:00:00,2023-08-01 02:00:00,INJUSDT,7.763,7.724185,7.831947,0.5,0.079,2.269,RANGING,81.1,A,50,1.78,True
2023-08-08 06:00:00,2023-08-08 08:00:00,BNBUSDT,243.09,240.1731,247.46535,1.2,-1.062,1.469,RANGING,77.0,A,20,1.5,False
2023-08-08 09:00:00,2023-08-08 11:00:00,APTUSDT,6.686,6.39785,7.118225,4.31,-0.674,1.042,RANGING,70.6,B,5,1.5,True
2023-08-10 22:00:00,2023-08-11 00:00:00,INJUSDT,7.706,7.578915,7.896628,1.649,-8.824,1.296,RANGING,74.4,B,15,1.5,True
2023-08-11 00:00:00,2023-08-11 02:00:00,INJUSDT,7.631,7.578915,7.709128,0.683,-0.813,1.306,RANGING,74.6,B,36,1.5,True
2023-08-11 22:00:00,2023-08-12 00:00:00,SOLUSDT,24.75,24.2183,25.54755,2.148,-1.907,1.173,RANGING,72.6,B,11,1.5,False
2023-08-11 23:00:00,2023-08-12 01:00:00,ETHUSDT,1848.28,1825.3474,1882.6789,1.241,0.033,1.476,RANGING,73.8,B,20,1.5,False
2023-08-11 23:00:00,2023-08-12 01:00:00,BNBUSDT,240.13,236.76025,245.184625,1.403,-1.952,4.685,RANGING,100.0,A,17,1.5,False
2023-08-12 07:00:00,2023-08-12 09:00:00,ARBUSDT,1.159,1.149126,1.173812,0.852,0.061,1.069,RANGING,65.0,B,29,1.5,False
2023-08-13 09:00:00,2023-08-13 11:00:00,ATOMUSDT,8.439,8.34009,8.587365,1.172,-0.746,1.209,RANGING,73.1,B,21,1.5,True
2023-08-15 00:00:00,2023-08-15 02:00:00,DOTUSDT,4.977,4.950125,5.025777,0.54,-0.604,2.001,RANGING,85.0,A,46,1.81,True
2023-08-15 14:00:00,2023-08-15 16:00:00,AVAXUSDT,12.219,12.193725,12.283783,0.207,0.274,2.314,RANGING,62.3,B,100,2.56,False
2023-08-16 00:00:00,2023-08-16 02:00:00,ARBUSDT,1.1304,1.105445,1.167833,2.208,-0.586,1.717,RANGING,80.8,A,11,1.5,False
